Internal ID,Location,Display Name Code, Number,Available
222850,Monterrey (QME),Kit Ama 26 (10-3670-1),300621,7
222851,Mty_Tecnico_1,Kit Ama 26 (10-3670-1),300621,12
222852,Mty_Tecnico_2,Kit Ama 26 (10-3670-1),300621,4
222853,Mty_Tecnico_3,Kit Ama 26 (10-3670-1),300621,3
222854,M�xico (QME),Kit Ama 26 (10-3670-1),300621,9
201925,Quer�taro (QME),Kit Ama 26 (10-3670-1),120620,1
98725,Quer�taro (QME),Kit Ama 26 (10-3670-1),300616,1
200575,Cham_Tecnico_4,Kit Ama 29 (10-3667-1),230420,1
191054,Ciudad Ju�rez (QME),Kit Ama 29 (10-3667-1),031019,2
200575,Coatzacoalcos (QME),Kit Ama 29 (10-3667-1),230420,2
194132,Coatzacoalcos (QME),Kit Ama 29 (10-3667-1),271119,3
191054,Cordoba (QME),Kit Ama 29 (10-3667-1),031019,1
194132,Cordoba (QME),Kit Ama 29 (10-3667-1),271119,4
200575,Culiacan_Tecnico_1,Kit Ama 29 (10-3667-1),230420,5
194132,Guadalajara (QME),Kit Ama 29 (10-3667-1),271119,2
194132,Guad_Tecnico_1,Kit Ama 29 (10-3667-1),271119,1
200575,Leon_Tecnico_2,Kit Ama 29 (10-3667-1),230420,1
194132,Leon_Tecnico_2,Kit Ama 29 (10-3667-1),271119,1
191054,M�rida (QME),Kit Ama 29 (10-3667-1),031019,2
200575,M�xico (QME),Kit Ama 29 (10-3667-1),230420,31
194132,M�xico (QME),Kit Ama 29 (10-3667-1),271119,15
180732,Nuevo Laredo (QME),Kit Ama 29 (10-3667-1),190619,1
200575,Nuevo Laredo (QME),Kit Ama 29 (10-3667-1),230420,2
180732,Nvo_Laredo_Tecnico_3,Kit Ama 29 (10-3667-1),190619,1
191054,Orizaba_Tecnico_1,Kit Ama 29 (10-3667-1),031019,1
200575,Orizaba_Tecnico_1,Kit Ama 29 (10-3667-1),230420,3
200575,Puebla,Kit Ama 29 (10-3667-1),230420,2
200575,Quer�taro (QME),Kit Ama 29 (10-3667-1),230420,1
200575,Sinercomm (QME),Kit Ama 29 (10-3667-1),230420,8
200575,Tabla Honda,Kit Ama 29 (10-3667-1),230420,1
191054,Toluca (QME),Kit Ama 29 (10-3667-1),031019,3
225397,Cham_Tecnico_4,Kit Ama 110 (10-53118-1),300821,2
217109,Chihuahua (QME),Kit Ama 110 (10-53118-1),090221,4
217109,Ciudad Ju�rez (QME),Kit Ama 110 (10-53118-1),090221,1
217410,Ciudad Ju�rez (QME),Kit Ama 110 (10-53118-1),160221,3
217109,Coatzacoalcos (QME),Kit Ama 110 (10-53118-1),090221,3
217109,Cordoba (QME),Kit Ama 110 (10-53118-1),090221,1
225397,Cordoba (QME),Kit Ama 110 (10-53118-1),300821,10
217109,Culiacan_Tecnico_1,Kit Ama 110 (10-53118-1),090221,1
217109,Culiac�n (QME),Kit Ama 110 (10-53118-1),090221,1
217109,Guadalajara (QME),Kit Ama 110 (10-53118-1),090221,1
225397,Guadalajara (QME),Kit Ama 110 (10-53118-1),300821,2
217109,Le�n (QME),Kit Ama 110 (10-53118-1),090221,2
225397,Mty_Tecnico_1,Kit Ama 110 (10-53118-1),300821,1
217109,M�rida (QME),Kit Ama 110 (10-53118-1),090221,2
217109,M�xico (QME),Kit Ama 110 (10-53118-1),090221,1
225397,M�xico (QME),Kit Ama 110 (10-53118-1),300821,24
217410,Puebla,Kit Ama 110 (10-53118-1),160221,1
217109,Quer�taro (QME),Kit Ama 110 (10-53118-1),090221,1
217410,Sinercomm (QME),Kit Ama 110 (10-53118-1),160221,3
225397,Tabla_Honda_Tecnico_12,Kit Ama 110 (10-53118-1),300821,1
217109,Toluca (QME),Kit Ama 110 (10-53118-1),090221,8
227271,Devoluciones en tr�nsito,Telescopics,120107163,1
227272,Devoluciones en tr�nsito,Telescopics,120158455,1
227273,Devoluciones en tr�nsito,Telescopics,120159082,1
218809,Aguascalientes (QME),IMCT power wire,270421,2
213700,Cham_Tecnico_5,IMCT power wire,301020,1
212047,Chihuahua (QME),IMCT power wire,161020,2
213700,Ciudad Ju�rez (QME),IMCT power wire,301020,4
213700,Coatzacoalcos (QME),IMCT power wire,301020,3
220734,Cordoba (QME),IMCT power wire,280521,5
212047,Culiacan_Tecnico_2,IMCT power wire,161020,1
220734,Guadalajara (QME),IMCT power wire,280521,2
213700,Guadalajara (QME),IMCT power wire,301020,2
220734,Guad_Tecnico_1,IMCT power wire,280521,1
212047,Leon_Tecnico_1,IMCT power wire,161020,1
212047,Leon_Tecnico_2,IMCT power wire,161020,1
213700,Le�n (QME),IMCT power wire,301020,1
213700,Mty_Tecnico_1,IMCT power wire,301020,2
213700,Mty_Tecnico_3,IMCT power wire,301020,1
212047,M�rida (QME),IMCT power wire,161020,3
220734,M�xico (QME),IMCT power wire,280521,105
218809,Nuevo Laredo (QME),IMCT power wire,270421,3
212157,Puebla,IMCT power wire,171020,1
212047,Quer�taro (QME),IMCT power wire,161020,2
218809,Quer�taro (QME),IMCT power wire,270421,3
220734,Sinercomm (QME),IMCT power wire,280521,5
218809,Tabla Honda,IMCT power wire,270421,1
220734,Tabla Honda,IMCT power wire,280521,2
218809,Tabla_Honda_Tecnico_1,IMCT power wire,270421,1
212047,Tabla_Honda_Tecnico_12,IMCT power wire,161020,1
208239,Tabla_Honda_Tecnico_9,IMCT power wire,310820,1
213700,Toluca (QME),IMCT power wire,301020,2
220734,Veracruz (QME),IMCT power wire,280521,3
213701,Aguascalientes (QME),IMCT keyboard wire,301020,2
213701,Cham_Tecnico_4,IMCT keyboard wire,301020,4
216294,Chihuahua (QME),IMCT keyboard wire,231220,1
204123,Chihuahua (QME),IMCT keyboard wire,300220,4
222861,Chihuahua (QME),IMCT keyboard wire,300621,1
213701,Ciudad Ju�rez (QME),IMCT keyboard wire,301020,11
204123,Coatzacoalcos (QME),IMCT keyboard wire,300220,2
212048,Cordoba (QME),IMCT keyboard wire,161020,5
213701,Cordoba (QME),IMCT keyboard wire,301020,4
213701,Guadalajara (QME),IMCT keyboard wire,301020,3
218810,Guad_Tecnico_1,IMCT keyboard wire,270421,2
213701,Leon_Tecnico_2,IMCT keyboard wire,301020,1
213701,Le�n (QME),IMCT keyboard wire,301020,4
222861,Mty_Tecnico_1,IMCT keyboard wire,300621,2
213701,Mty_Tecnico_1,IMCT keyboard wire,301020,2
222861,Mty_Tecnico_2,IMCT keyboard wire,300621,1
192469,M�rida (QME),IMCT keyboard wire,241019,1
204123,M�rida (QME),IMCT keyboard wire,300220,1
